order_id,order_date,customer_id,product_name,category,price,quantity_sold,product_cost,profit,stock_remaining,payment_method
ORD0026,2025-08-21,CUST425,Gorgonzola Dolce 300g,Cheese,5.9,4,3.6,9.2,30.0,Credit Card
ORD0027,2025-05-28,CUST389,Taralli Pugliesi 400g,Bakery,4.9,3,2.4,7.5,127.0,PayPal
ORD0028,2025-04-13,CUST193,Organic Olive Oil 1L,Olive Oil,18.5,5,11.2,36.5,51.0,PayPal
ORD0029,2025-04-01,CUST338,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,1,66.3,18.6,66.0,PayPal
ORD0030,2025-11-03,CUST315,Orecchiette 500g,Pasta,3.9,1,1.9,2.0,27.0,PayPal
ORD0031,2025-01-26,CUST536,Truffle Pasta 250g,Pasta,7.9,4,4.8,12.4,23.0,Credit Card
ORD0032,2025-02-02,CUST599,Parmigiano Reggiano 1kg,Cheese,27.9,1,18.5,9.4,122.0,Cash
ORD0033,2025-10-09,CUST292,Prosciutto Crudo 200g,Cured Meat,8.9,3,5.4,10.5,123.0,Debit Card
ORD0034,2025-12-05,CUST327,Organic Olive Oil 1L,Olive Oil,18.5,4,11.2,29.2,59.0,Cash
ORD0035,2025-04-14,CUST685,Speck Alto Adige 250g,Cured Meat,7.8,1,4.9,2.9,91.0,Credit Card
ORD0036,2025-03-25,CUST627,Prosecco DOC 750ml,Wine,12.9,1,7.5,5.4,126.0,Cash
ORD0037,2025-10-19,CUST319,Artichoke Spread 200g,Preserves,6.8,3,3.5,9.9,56.0,Cash
ORD0038,2025-02-12,CUST788,Orange Marmalade 300g,Preserves,5.5,2,2.7,5.6,37.0,Debit Card
ORD0039,2025-01-13,CUST328,Gorgonzola Dolce 300g,Cheese,5.9,3,3.6,6.9,95.0,PayPal
ORD0040,2025-03-04,CUST618,Parmigiano Reggiano 1kg,Cheese,27.9,1,18.5,9.4,114.0,Debit Card
ORD0041,2025-12-03,CUST318,Chili Pepper Jam 200g,Preserves,6.2,1,3.1,3.1,149.0,Cash
ORD0042,2025-09-01,CUST244,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,4,66.3,74.4,126.0,PayPal
ORD0043,2025-03-17,CUST120,Prosecco DOC 750ml,Wine,12.9,5,7.5,27.0,138.0,Cash
ORD0044,2025-01-19,CUST846,Prosecco DOC 750ml,Wine,12.9,4,7.5,21.6,28.0,Cash
ORD0045,2025-02-05,CUST790,Burrata 250g,Cheese,4.9,1,2.7,2.2,95.0,Cash
ORD0046,2025-03-25,CUST747,Prosciutto Crudo 200g,Cured Meat,8.9,3,5.4,10.5,13.0,Cash
ORD0047,2025-12-29,CUST963,Extra Virgin Olive Oil 750ml,Olive Oil,15.9,3,9.5,19.2,75.0,Credit Card
ORD0048,2025-05-29,CUST539,Ravioli Ricotta & Spinach 400g,Pasta,6.8,5,4.1,13.5,106.0,Credit Card
ORD0049,2025-06-30,CUST456,Artichoke Spread 200g,Preserves,6.8,5,3.5,16.5,102.0,Debit Card
ORD0050,2025-03-03,CUST326,Soppressata Calabrese 350g,Cured Meat,10.5,1,6.8,3.7,46.0,Cash
ORD0051,2025-01-23,CUST512,Pecorino Romano 500g,Cheese,13.5,3,9.1,13.2,50.0,Debit Card
ORD0052,2025-07-09,CUST921,Focaccia Genovese,Bakery,5.5,4,2.8,10.8,6.0,Debit Card
ORD0053,2025-08-04,CUST991,Linguine Artisan 500g,Pasta,4.2,1,2.1,2.1,146.0,Debit Card
ORD0054,2025-01-03,CUST414,Pitta Bread,Bakery,2.9,2,1.2,3.4,29.0,Cash
ORD0055,2025-01-17,CUST303,Orecchiette 500g,Pasta,3.9,1,1.9,2.0,146.0,Credit Card
ORD0056,2025-12-12,CUST788,Garlic Bread,Bakery,3.5,2,1.4,4.2,79.0,Credit Card
ORD0057,2025-02-28,CUST196,Ravioli Ricotta & Spinach 400g,Pasta,6.8,5,4.1,13.5,96.0,PayPal
ORD0058,2025-06-14,CUST659,Prosecco DOC 750ml,Wine,12.9,2,7.5,10.8,71.0,Credit Card
ORD0059,2025-04-29,CUST964,Gorgonzola Dolce 300g,Cheese,5.9,4,3.6,9.2,37.0,Credit Card
ORD0060,2025-01-13,CUST194,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,4,66.3,74.4,81.0,Credit Card
ORD0061,2025-08-27,CUST580,Orecchiette 500g,Pasta,3.9,4,1.9,8.0,8.0,PayPal
ORD0062,2025-12-20,CUST403,Soppressata Calabrese 350g,Cured Meat,10.5,3,6.8,11.1,23.0,Cash
ORD0063,2025-09-11,CUST646,Pitta Bread,Bakery,2.9,1,1.2,1.7,106.0,PayPal
ORD0064,2025-06-25,CUST926,Pancetta Arrotolata 250g,Cured Meat,6.9,5,4.1,14.0,22.0,Debit Card
ORD0065,2025-01-10,CUST144,Ravioli Ricotta & Spinach 400g,Pasta,6.8,1,4.1,2.7,98.0,Debit Card
ORD0066,2025-01-12,CUST813,Truffle Olive Oil 250ml,Olive Oil,12.9,1,7.9,5.0,57.0,PayPal
ORD0067,2025-08-27,CUST724,Organic Olive Oil 1L,Olive Oil,18.5,3,11.2,21.9,104.0,Cash
ORD0068,2025-09-06,CUST113,Truffle Olive Oil 250ml,Olive Oil,12.9,1,7.9,5.0,66.0,PayPal
ORD0069,2025-02-16,CUST555,Nero d'Avola 750ml,Wine,16.5,1,10.2,6.3,53.0,Debit Card
ORD0070,2025-11-29,CUST668,Organic Olive Oil 1L,Olive Oil,18.5,5,11.2,36.5,37.0,Cash
ORD0071,2025-09-04,CUST208,Orange Marmalade 300g,Preserves,5.5,3,2.7,8.4,69.0,Credit Card
ORD0072,2025-09-06,CUST213,Pancetta Arrotolata 250g,Cured Meat,6.9,1,4.1,2.8,80.0,Credit Card
ORD0073,2025-03-22,CUST636,Pecorino Romano 500g,Cheese,13.5,4,9.1,17.6,83.0,Credit Card
ORD0074,2025-11-09,CUST687,Fig Jam 300g,Preserves,5.9,2,2.9,6.0,43.0,Cash
ORD0075,2025-09-25,CUST547,Pitta Bread,Bakery,2.9,4,1.2,6.8,93.0,Cash
ORD0076,2025-07-27,CUST559,Orecchiette 500g,Pasta,3.9,1,1.9,2.0,41.0,PayPal
ORD0077,2025-02-01,CUST815,Parmigiano Reggiano 500g,Cheese,14.9,1,9.2,5.7,53.0,Debit Card
ORD0078,2025-06-14,CUST264,Taralli Pugliesi 400g,Bakery,4.9,3,2.4,7.5,35.0,Credit Card
ORD0079,2025-11-25,CUST300,Pecorino Romano 500g,Cheese,13.5,1,9.1,4.4,65.0,Credit Card
ORD0080,2025-02-04,CUST647,Orecchiette 500g,Pasta,3.9,4,1.9,8.0,45.0,PayPal
ORD0081,2025-07-22,CUST719,Chili Pepper Jam 200g,Preserves,6.2,5,3.1,15.5,70.0,Debit Card
ORD0082,2025-12-19,CUST797,Prosciutto Crudo 200g,Cured Meat,8.9,4,5.4,14.0,106.0,Debit Card
ORD0083,2025-11-29,CUST573,Speck Alto Adige 250g,Cured Meat,7.8,4,4.9,11.6,62.0,Debit Card
ORD0084,2025-07-17,CUST153,Pancetta Arrotolata 250g,Cured Meat,6.9,5,4.1,14.0,7.0,PayPal
ORD0085,2025-04-24,CUST140,Linguine Artisan 500g,Pasta,4.2,3,2.1,6.3,121.0,Credit Card
ORD0086,2025-03-13,CUST664,Fig Jam 300g,Preserves,5.9,3,2.9,9.0,92.0,Debit Card
ORD0087,2025-04-11,CUST620,Fresh Pasta 500g,Pasta,4.5,5,2.2,11.5,80.0,Cash
ORD0088,2025-12-05,CUST438,Extra Virgin Olive Oil 750ml,Olive Oil,15.9,5,9.5,32.0,115.0,Cash
ORD0089,2025-04-30,CUST783,Truffle Olive Oil 250ml,Olive Oil,12.9,5,7.9,25.0,84.0,Cash
ORD0090,2025-03-09,CUST206,Nero d'Avola 750ml,Wine,16.5,1,10.2,6.3,70.0,Cash
ORD0091,2025-12-12,CUST388,Pancetta Arrotolata 250g,Cured Meat,6.9,2,4.1,5.6,7.0,Cash
ORD0092,2025-11-07,CUST644,Truffle Olive Oil 250ml,Olive Oil,12.9,1,7.9,5.0,51.0,Cash
ORD0093,2025-09-01,CUST349,Chianti Classico 750ml,Wine,18.9,1,11.5,7.4,75.0,PayPal
ORD0094,2025-12-23,CUST312,Pecorino Romano 500g,Cheese,13.5,4,9.1,17.6,26.0,Credit Card
ORD0095,2025-10-08,CUST698,Pitta Bread,Bakery,2.9,3,1.2,5.1,30.0,PayPal
ORD0096,2025-07-26,CUST963,Prosciutto Crudo 200g,Cured Meat,8.9,3,5.4,10.5,108.0,Debit Card
ORD0097,2025-09-30,CUST954,Taralli Pugliesi 400g,Bakery,4.9,3,2.4,7.5,15.0,Debit Card
ORD0098,2025-03-18,CUST745,Extra Virgin Olive Oil 750ml,Olive Oil,15.9,3,9.5,19.2,30.0,PayPal
ORD0099,2025-01-01,CUST142,Taralli Pugliesi 400g,Bakery,4.9,4,2.4,10.0,52.0,Credit Card
ORD0100,2025-02-28,CUST275,Burrata 250g,Cheese,4.9,4,2.7,8.8,92.0,Debit Card
ORD0101,2025-05-14,CUST193,Speck Alto Adige 250g,Cured Meat,7.8,1,4.9,2.9,93.0,PayPal
ORD0102,2025-09-13,CUST630,Nero d'Avola 750ml,Wine,16.5,3,10.2,18.9,83.0,Credit Card
ORD0103,2025-03-12,CUST513,Nero d'Avola 750ml,Wine,16.5,5,10.2,31.5,13.0,Cash
ORD0104,2025-02-20,CUST221,Truffle Pasta 250g,Pasta,7.9,3,4.8,9.3,52.0,Credit Card
ORD0105,2025-09-17,CUST148,Parmigiano Reggiano 1kg,Cheese,27.9,2,18.5,18.8,94.0,PayPal
ORD0106,2025-07-26,CUST196,Soppressata Calabrese 350g,Cured Meat,10.5,2,6.8,7.4,10.0,Cash
ORD0107,2025-12-25,CUST569,Truffle Olive Oil 250ml,Olive Oil,12.9,1,7.9,5.0,13.0,Cash
ORD0108,2025-11-26,CUST235,Orange Marmalade 300g,Preserves,5.5,5,2.7,14.0,83.0,Debit Card
ORD0109,2025-09-04,CUST818,Pancetta Arrotolata 250g,Cured Meat,6.9,4,4.1,11.2,108.0,Cash
ORD0110,2025-07-21,CUST164,Linguine Artisan 500g,Pasta,4.2,5,2.1,10.5,73.0,PayPal
ORD0111,2025-01-07,CUST512,Pitta Bread,Bakery,2.9,3,1.2,5.1,111.0,Cash
ORD0112,2025-08-10,CUST656,Parmigiano Reggiano 500g,Cheese,14.9,4,9.2,22.8,56.0,Credit Card
ORD0113,2025-02-27,CUST742,Gorgonzola Dolce 300g,Cheese,5.9,5,3.6,11.5,57.0,Debit Card
ORD0114,2025-10-18,CUST775,Barolo Riserva 750ml,Wine,49.9,3,29.3,61.8,22.0,Credit Card
ORD0115,2025-01-15,CUST777,Truffle Pasta 250g,Pasta,7.9,3,4.8,9.3,133.0,Cash
ORD0116,2025-11-10,CUST458,Gorgonzola Dolce 300g,Cheese,5.9,2,3.6,4.6,102.0,Credit Card
ORD0117,2025-10-12,CUST995,Garlic Bread,Bakery,3.5,3,1.4,6.3,0.0,PayPal
ORD0118,2025-07-07,CUST784,Salame Napoli 300g,Cured Meat,6.5,1,3.9,2.6,116.0,Credit Card
ORD0119,2025-04-17,CUST612,Nero d'Avola 750ml,Wine,16.5,1,10.2,6.3,148.0,Cash
ORD0120,2025-03-11,CUST409,Truffle Pasta 250g,Pasta,7.9,5,4.8,15.5,93.0,Credit Card
ORD0121,2025-08-17,CUST867,Pitta Bread,Bakery,2.9,2,1.2,3.4,6.0,Cash
ORD0122,2025-01-05,CUST367,Fresh Pasta 500g,Pasta,4.5,2,2.2,4.6,97.0,Cash
ORD0123,2025-10-03,CUST833,Ravioli Ricotta & Spinach 400g,Pasta,6.8,4,4.1,10.8,52.0,Debit Card
ORD0124,2025-10-20,CUST247,Chili Pepper Jam 200g,Preserves,6.2,1,3.1,3.1,74.0,Credit Card
ORD0125,2025-04-04,CUST872,Salame Napoli 300g,Cured Meat,6.5,4,3.9,10.4,17.0,Debit Card
ORD0126,2025-08-27,CUST989,Parmigiano Reggiano 1kg,Cheese,27.9,5,18.5,47.0,19.0,Credit Card
ORD0127,2025-11-30,CUST811,Speck Alto Adige 250g,Cured Meat,7.8,5,4.9,14.5,80.0,Cash
ORD0128,2025-06-07,CUST581,Chianti Classico 750ml,Wine,18.9,3,11.5,22.2,123.0,Cash
ORD0129,2025-09-28,CUST898,Pecorino Romano 500g,Cheese,13.5,2,9.1,8.8,11.0,Cash
ORD0130,2025-07-03,CUST622,Burrata 250g,Cheese,4.9,1,2.7,2.2,7.0,Debit Card
ORD0131,2025-06-23,CUST201,Soppressata Calabrese 350g,Cured Meat,10.5,2,6.8,7.4,27.0,Debit Card
ORD0132,2025-05-12,CUST707,Linguine Artisan 500g,Pasta,4.2,3,2.1,6.3,67.0,Debit Card
ORD0133,2025-05-27,CUST297,Burrata 250g,Cheese,4.9,2,2.7,4.4,141.0,PayPal
ORD0134,2025-04-28,CUST610,Truffle Pasta 250g,Pasta,7.9,5,4.8,15.5,56.0,Credit Card
ORD0135,2025-10-08,CUST647,Soppressata Calabrese 350g,Cured Meat,10.5,1,6.8,3.7,94.0,PayPal
ORD0136,2025-11-29,CUST877,Focaccia Genovese,Bakery,5.5,4,2.8,10.8,66.0,Debit Card
ORD0137,2025-07-03,CUST116,Prosecco DOC 750ml,Wine,12.9,1,7.5,5.4,89.0,Debit Card
ORD0138,2025-12-13,CUST931,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,2,66.3,37.2,120.0,Credit Card
ORD0139,2025-11-26,CUST989,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,3,66.3,55.8,48.0,Cash
ORD0140,2025-05-20,CUST263,Truffle Olive Oil 250ml,Olive Oil,12.9,3,7.9,15.0,51.0,PayPal
ORD0141,2025-06-26,CUST631,Barolo Riserva 750ml,Wine,49.9,4,29.3,82.4,126.0,Cash
ORD0142,2025-10-31,CUST304,Truffle Olive Oil 250ml,Olive Oil,12.9,5,7.9,25.0,66.0,Debit Card
ORD0143,2025-05-23,CUST179,Parmigiano Reggiano 500g,Cheese,14.9,4,9.2,22.8,90.0,Debit Card
ORD0144,2025-04-22,CUST269,Prosciutto Crudo 200g,Cured Meat,8.9,3,5.4,10.5,126.0,Credit Card
ORD0145,2025-08-02,CUST405,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,4,66.3,74.4,30.0,Credit Card
ORD0146,2025-12-22,CUST986,Garlic Bread,Bakery,3.5,2,1.4,4.2,142.0,Credit Card
ORD0147,2025-10-05,CUST243,Parmigiano Reggiano 500g,Cheese,14.9,3,9.2,17.1,36.0,PayPal
ORD0148,2025-05-30,CUST685,Nero d'Avola 750ml,Wine,16.5,1,10.2,6.3,13.0,Debit Card
ORD0149,2025-07-28,CUST237,Taralli Pugliesi 400g,Bakery,4.9,4,2.4,10.0,116.0,Cash
ORD0150,2025-01-22,CUST119,Prosciutto Crudo 200g,Cured Meat,8.9,4,5.4,14.0,132.0,Credit Card
ORD0151,2025-08-09,CUST982,Linguine Artisan 500g,Pasta,4.2,4,2.1,8.4,58.0,PayPal
ORD0152,2025-06-14,CUST101,Pitta Bread,Bakery,2.9,3,1.2,5.1,17.0,Debit Card
ORD0153,2025-01-30,CUST793,Orange Marmalade 300g,Preserves,5.5,1,2.7,2.8,1.0,PayPal
ORD0154,2025-02-10,CUST228,Chili Pepper Jam 200g,Preserves,6.2,2,3.1,6.2,21.0,PayPal
ORD0155,2025-07-23,CUST745,Prosciutto Crudo 200g,Cured Meat,8.9,4,5.4,14.0,3.0,Cash
ORD0156,2025-02-22,CUST102,Gorgonzola Dolce 300g,Cheese,5.9,1,3.6,2.3,71.0,Debit Card
ORD0157,2025-02-14,CUST502,Burrata 250g,Cheese,4.9,2,2.7,4.4,15.0,Credit Card
ORD0158,2025-05-31,CUST416,Chianti Classico 750ml,Wine,18.9,2,11.5,14.8,8.0,Debit Card
ORD0159,2025-02-09,CUST278,Pancetta Arrotolata 250g,Cured Meat,6.9,1,4.1,2.8,88.0,Credit Card
ORD0160,2025-05-13,CUST564,Linguine Artisan 500g,Pasta,4.2,2,2.1,4.2,73.0,Debit Card
ORD0161,2025-02-06,CUST971,Chili Pepper Jam 200g,Preserves,6.2,5,3.1,15.5,7.0,Cash
ORD0162,2025-12-26,CUST745,Organic Olive Oil 1L,Olive Oil,18.5,1,11.2,7.3,139.0,Debit Card
ORD0163,2025-02-14,CUST271,Chianti Classico 750ml,Wine,18.9,2,11.5,14.8,88.0,PayPal
ORD0164,2025-03-06,CUST517,Orange Marmalade 300g,Preserves,5.5,4,2.7,11.2,90.0,Credit Card
ORD0165,2025-04-07,CUST468,Extra Virgin Olive Oil 750ml,Olive Oil,15.9,2,9.5,12.8,70.0,Debit Card
ORD0166,2025-05-30,CUST686,Parmigiano Reggiano 1kg,Cheese,27.9,5,18.5,47.0,49.0,Debit Card
ORD0167,2025-01-24,CUST878,Pitta Bread,Bakery,2.9,1,1.2,1.7,84.0,Cash
ORD0168,2025-11-06,CUST840,Barolo Riserva 750ml,Wine,49.9,5,29.3,103.0,5.0,PayPal
ORD0169,2025-02-09,CUST108,Fresh Pasta 500g,Pasta,4.5,1,2.2,2.3,95.0,Cash
ORD0170,2025-03-10,CUST170,Burrata 250g,Cheese,4.9,2,2.7,4.4,31.0,PayPal
ORD0171,2025-10-20,CUST209,Orange Marmalade 300g,Preserves,5.5,2,2.7,5.6,94.0,Credit Card
ORD0172,2025-08-23,CUST675,Prosecco DOC 750ml,Wine,12.9,2,7.5,10.8,48.0,PayPal
ORD0173,2025-11-19,CUST639,Focaccia Genovese,Bakery,5.5,3,2.8,8.1,137.0,Cash
ORD0174,2025-06-26,CUST809,Artichoke Spread 200g,Preserves,6.8,3,3.5,9.9,62.0,PayPal
ORD0175,2025-01-31,CUST387,Pecorino Romano 500g,Cheese,13.5,1,9.1,4.4,21.0,Cash
ORD0176,2025-09-29,CUST986,Soppressata Calabrese 350g,Cured Meat,10.5,4,6.8,14.8,65.0,Debit Card
ORD0177,2025-07-03,CUST500,Focaccia Genovese,Bakery,5.5,2,2.8,5.4,137.0,Credit Card
ORD0178,2025-01-02,CUST850,Focaccia Genovese,Bakery,5.5,3,2.8,8.1,106.0,Cash
ORD0179,2025-02-12,CUST499,Speck Alto Adige 250g,Cured Meat,7.8,5,4.9,14.5,112.0,PayPal
ORD0180,2025-10-16,CUST505,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,4,66.3,74.4,87.0,PayPal
ORD0181,2025-03-14,CUST462,Barolo Riserva 750ml,Wine,49.9,1,29.3,20.6,41.0,Debit Card
ORD0182,2025-01-17,CUST447,Artichoke Spread 200g,Preserves,6.8,1,3.5,3.3,76.0,Credit Card
ORD0183,2025-08-30,CUST508,Truffle Pasta 250g,Pasta,7.9,4,4.8,12.4,139.0,Cash
ORD0184,2025-12-30,CUST123,Prosciutto Crudo 200g,Cured Meat,8.9,3,5.4,10.5,31.0,Cash
ORD0185,2025-02-19,CUST550,Ravioli Ricotta & Spinach 400g,Pasta,6.8,3,4.1,8.1,36.0,Debit Card
ORD0186,2025-10-18,CUST958,Burrata 250g,Cheese,4.9,5,2.7,11.0,30.0,PayPal
ORD0187,2025-06-16,CUST358,Barolo Riserva 750ml,Wine,49.9,3,29.3,61.8,90.0,PayPal
ORD0188,2025-08-23,CUST509,Pitta Bread,Bakery,2.9,5,1.2,8.5,114.0,Debit Card
ORD0189,2025-07-28,CUST453,Soppressata Calabrese 350g,Cured Meat,10.5,1,6.8,3.7,77.0,PayPal
ORD0190,2025-07-06,CUST762,Soppressata Calabrese 350g,Cured Meat,10.5,2,6.8,7.4,110.0,Debit Card
ORD0191,2025-12-26,CUST720,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,1,66.3,18.6,79.0,Credit Card
ORD0192,2025-05-16,CUST858,Burrata 250g,Cheese,4.9,1,2.7,2.2,28.0,Debit Card
ORD0193,2025-07-03,CUST675,Pecorino Romano 500g,Cheese,13.5,4,9.1,17.6,46.0,Cash
ORD0194,2025-07-08,CUST178,Truffle Pasta 250g,Pasta,7.9,1,4.8,3.1,22.0,Credit Card
ORD0195,2025-10-17,CUST781,Pecorino Romano 500g,Cheese,13.5,1,9.1,4.4,132.0,Credit Card
ORD0196,2025-05-18,CUST221,Barolo Riserva 750ml,Wine,49.9,5,29.3,103.0,0.0,Cash
ORD0197,2025-08-29,CUST807,Taralli Pugliesi 400g,Bakery,4.9,3,2.4,7.5,36.0,PayPal
ORD0198,2025-04-04,CUST303,Salame Napoli 300g,Cured Meat,6.5,4,3.9,10.4,87.0,Cash
ORD0199,2025-12-11,CUST868,Orange Marmalade 300g,Preserves,5.5,4,2.7,11.2,39.0,Debit Card
ORD0200,2025-12-10,CUST219,Pancetta Arrotolata 250g,Cured Meat,6.9,3,4.1,8.4,64.0,PayPal
ORD0201,2025-03-24,CUST710,Taralli Pugliesi 400g,Bakery,4.9,2,2.4,5.0,25.0,Credit Card
ORD0202,2025-06-27,CUST871,Orange Marmalade 300g,Preserves,5.5,2,2.7,5.6,16.0,Debit Card
ORD0203,2025-01-14,CUST533,Orecchiette 500g,Pasta,3.9,2,1.9,4.0,32.0,PayPal
ORD0204,2025-08-25,CUST267,Pancetta Arrotolata 250g,Cured Meat,6.9,5,4.1,14.0,134.0,PayPal
ORD0205,2025-10-08,CUST492,Linguine Artisan 500g,Pasta,4.2,5,2.1,10.5,67.0,Debit Card
ORD0206,2025-06-10,CUST411,Artichoke Spread 200g,Preserves,6.8,4,3.5,13.2,139.0,Debit Card
ORD0207,2025-08-09,CUST723,Chianti Classico 750ml,Wine,18.9,2,11.5,14.8,134.0,Debit Card
ORD0208,2025-08-30,CUST256,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,5,66.3,93.0,5.0,Credit Card
ORD0209,2025-02-03,CUST536,Salame Napoli 300g,Cured Meat,6.5,2,3.9,5.2,129.0,PayPal
ORD0210,2025-11-21,CUST511,Fig Jam 300g,Preserves,5.9,4,2.9,12.0,64.0,Cash
ORD0211,2025-09-16,CUST732,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,5,66.3,93.0,142.0,Debit Card
ORD0212,2025-02-08,CUST842,Linguine Artisan 500g,Pasta,4.2,3,2.1,6.3,71.0,Cash
ORD0213,2025-01-11,CUST229,Montepulciano d'Abruzzo Elévito 750ml,Wine,84.9,2,66.3,37.2,106.0,Credit Card
ORD0214,2025-05-10,CUST919,Barolo Riserva 750ml,Wine,49.9,1,29.3,20.6,115.0,Debit Card
ORD0215,2025-03-27,CUST767,Artichoke Spread 200g,Preserves,6.8,3,3.5,9.9,111.0,Cash
ORD0216,2025-09-19,CUST738,Orange Marmalade 300g,Preserves,5.5,4,2.7,11.2,95.0,Debit Card
ORD0217,2025-08-20,CUST118,Garlic Bread,Bakery,3.5,1,1.4,2.1,55.0,Debit Card
ORD0218,2025-05-17,CUST418,Fig Jam 300g,Preserves,5.9,2,2.9,6.0,79.0,Cash
ORD0219,2025-12-13,CUST181,Prosciutto Crudo 200g,Cured Meat,8.9,1,5.4,3.5,2.0,PayPal
ORD0220,2025-02-18,CUST867,Fresh Pasta 500g,Pasta,4.5,4,2.2,9.2,108.0,Credit Card
ORD0221,2025-03-24,CUST987,Salame Napoli 300g,Cured Meat,6.5,2,3.9,5.2,105.0,Debit Card
ORD0222,2025-03-05,CUST500,Truffle Pasta 250g,Pasta,7.9,3,4.8,9.3,52.0,Credit Card
ORD0223,2025-01-31,CUST470,Linguine Artisan 500g,Pasta,4.2,4,2.1,8.4,73.0,Cash
ORD0224,2025-04-25,CUST388,Truffle Pasta 250g,Pasta,7.9,1,4.8,3.1,67.0,Cash
ORD0225,2025-07-30,CUST349,Truffle Olive Oil 250ml,Olive Oil,12.9,4,7.9,20.0,3.0,Cash
ORD0226,2025-05-11,CUST257,Fig Jam 300g,Preserves,5.9,3,2.9,9.0,9.0,Debit Card
ORD0227,2025-01-13,CUST606,Truffle Pasta 250g,Pasta,7.9,5,4.8,15.5,88.0,PayPal
ORD0228,2025-06-17,CUST942,Gorgonzola Dolce 300g,Cheese,5.9,5,3.6,11.5,129.0,Credit Card
ORD0229,2025-03-11,CUST586,Nero d'Avola 750ml,Wine,16.5,2,10.2,12.6,102.0,PayPal
ORD0230,2025-08-03,CUST422,Truffle Pasta 250g,Pasta,7.9,2,4.8,6.2,91.0,Cash
ORD0231,2025-09-06,CUST603,Linguine Artisan 500g,Pasta,4.2,2,2.1,4.2,92.0,Credit Card
ORD0232,2025-05-01,CUST982,Gorgonzola Dolce 300g,Cheese,5.9,5,3.6,11.5,29.0,PayPal
